,appid,genre
22,534380,"['action', 'adventure', 'atmospheric', 'choicesmatter', 'coop', 'fps', 'firstperson', 'gore', 'horror', 'multiplayer', 'openworld', 'parkour', 'postapocalyptic', 'rpg', 'singleplayer', 'storyrich', 'survival', 'survivalhorror', 'violent', 'zombies']"
23,814380,"['action', 'adventure', 'assassin', 'atmospheric', 'dark', 'darkfantasy', 'difficult', 'gore', 'greatsoundtrack', 'hackandslash', 'ninja', 'openworld', 'rpg', 'rhythm', 'singleplayer', 'soulslike', 'stealth', 'storyrich', 'thirdperson', 'violent']"
24,1044720,"['3d', '4x', 'alternatehistory', 'building', 'citybuilder', 'colonysim', 'earlyaccess', 'immersivesim', 'indie', 'management', 'military', 'oldschool', 'openworldsurvivalcraft', 'rts', 'realistic', 'resourcemanagement', 'sandbox', 'simulation', 'singleplayer', 'strategy', 'survival']"
25,1245620,"['3d', 'action', 'actionrpg', 'atmospheric', 'coop', 'darkfantasy', 'difficult', 'fantasy', 'greatsoundtrack', 'multiplayer', 'onlinecoop', 'openworld', 'pvp', 'rpg', 'relaxing', 'singleplayer', 'soulslike', 'thirdperson', 'violent', 'walkingsimulator']"
26,271590,"['action', 'adventure', 'atmospheric', 'automobilesim', 'coop', 'comedy', 'crime', 'firstperson', 'funny', 'greatsoundtrack', 'mature', 'moddable', 'multiplayer', 'openworld', 'racing', 'sandbox', 'shooter', 'singleplayer', 'thirdperson', 'thirdpersonshooter']"
27,440,"['action', 'cartoon', 'cartoony', 'classbased', 'coop', 'comedy', 'competitive', 'crafting', 'fps', 'firstperson', 'freetoplay', 'funny', 'heroshooter', 'multiplayer', 'onlinecoop', 'robots', 'shooter', 'tactical', 'teambased', 'trading']"
28,440900,"['action', 'adventure', 'building', 'coop', 'crafting', 'exploration', 'fantasy', 'gore', 'massivelymultiplayer', 'multiplayer', 'nudity', 'onlinecoop', 'openworld', 'openworldsurvivalcraft', 'pvp', 'rpg', 'sandbox', 'simulation', 'singleplayer', 'strategy', 'survival', 'violent']"
29,1250410,"['adventure', 'atmospheric', 'autobattler', 'beautiful', 'colorful', 'familyfriendly', 'flight', 'lifesim', 'logic', 'multiplayer', 'openworld', 'physics', 'realtime', 'realistic', 'short', 'simulation', 'singleplayer', 'surreal', 'trackir', 'vr']"
30,1328670,"['action', 'actionrpg', 'atmospheric', 'charactercustomization', 'choicesmatter', 'classic', 'combat', 'femaleprotagonist', 'greatsoundtrack', 'military', 'nudity', 'rpg', 'scifi', 'sexualcontent', 'shooter', 'singleplayer', 'space', 'storyrich', 'tacticalrpg', 'thirdpersonshooter']"
31,1659040,"['action', 'adventure', 'assassin', 'capitalism', 'cinematic', 'funny', 'gore', 'immersivesim', 'multiplayer', 'openworld', 'puzzle', 'realistic', 'sandbox', 'shooter', 'singleplayer', 'stealth', 'thirdperson', 'thirdpersonshooter', 'vr', 'violent']"
32,1569040,"['2d', '3d', 'charactercustomization', 'football', 'management', 'multiplayer', 'realtimetactics', 'simulation', 'singleplayer', 'soccer', 'sports', 'strategy', 'textbased', 'esports']"
33,582660,"['3d', 'action', 'adventure', 'atmospheric', 'charactercustomization', 'combat', 'cooking', 'crafting', 'fantasy', 'mmorpg', 'magic', 'massivelymultiplayer', 'medieval', 'multiplayer', 'openworld', 'pvp', 'rpg', 'simulation', 'strategy', 'war']"
34,1255630,"['charactercustomization', 'coop', 'controller', 'fighting', 'localcoop', 'localmultiplayer', 'multiplayer', 'nudity', 'onlinecoop', 'pvp', 'sexualcontent', 'simulation', 'sports', 'violent', 'wrestling']"
35,1056640,"['action', 'actionrpg', 'anime', 'charactercustomization', 'coop', 'cute', 'fantasy', 'farmingsim', 'freetoplay', 'greatsoundtrack', 'jrpg', 'mmorpg', 'massivelymultiplayer', 'mechs', 'multiplayer', 'nudity', 'onlinecoop', 'openworld', 'rpg', 'scifi']"
36,275850,"['action', 'adventure', 'atmospheric', 'crafting', 'exploration', 'fps', 'firstperson', 'indie', 'multiplayer', 'openworld', 'openworldsurvivalcraft', 'proceduralgeneration', 'sandbox', 'scifi', 'simulation', 'singleplayer', 'space', 'spacesim', 'survival', 'vr']"
37,1332010,"['action', 'adventure', 'atmospheric', 'beautiful', 'cats', 'colorful', 'cute', 'cyberpunk', 'dystopian', 'exploration', 'horror', 'indie', 'mystery', 'openworld', 'puzzle', 'robots', 'scifi', 'singleplayer', 'stealth', 'thirdperson']"
38,1446780,"['3d', 'action', 'actionrpg', 'anime', 'atmospheric', 'charactercustomization', 'coop', 'dragons', 'fantasy', 'hunting', 'jrpg', 'multiplayer', 'nature', 'ninja', 'onlinecoop', 'pve', 'rpg', 'singleplayer', 'soulslike', 'thirdperson']"
39,311210,"['action', 'adventure', 'atmospheric', 'coop', 'fps', 'firstperson', 'futuristic', 'gore', 'greatsoundtrack', 'heroshooter', 'illuminati', 'multiplayer', 'parkour', 'quicktimeevents', 'robots', 'scifi', 'shooter', 'simulation', 'singleplayer', 'storyrich', 'zombies']"
40,663090,"['anime', 'freetoplay', 'mmorpg', 'massivelymultiplayer', 'rpg']"
41,1377580,"['2.5d', 'action', 'actionrpg', 'anime', 'characteractiongame', 'coop', 'dark', 'freetoplay', 'hackandslash', 'mmorpg', 'massivelymultiplayer', 'multiplayer', 'nudity', 'onlinecoop', 'postapocalyptic', 'pve', 'rpg', 'sexualcontent', 'storyrich', 'thirdperson']"
42,960170,"['2d', 'action', 'anime', 'arcade', 'casual', 'competitive', 'difficult', 'earlyaccess', 'greatsoundtrack', 'hentai', 'indie', 'mature', 'multiplayer', 'music', 'nudity', 'psychologicalhorror', 'rhythm', 'sexualcontent', 'singleplayer', 'sports']"
43,1551360,"['action', 'adventure', 'arcade', 'atmospheric', 'automobilesim', 'beautiful', 'coop', 'driving', 'exploration', 'firstperson', 'multiplayer', 'onlinecoop', 'openworld', 'pvp', 'racing', 'realistic', 'simulation', 'singleplayer', 'sports', 'thirdperson']"
44,997070,"['action', 'adventure', 'cinematic', 'coop', 'coopcampaign', 'combat', 'comicbook', 'fantasy', 'loot', 'multiplayer', 'onlinecoop', 'openworld', 'pve', 'rpg', 'scifi', 'singleplayer', 'storyrich', 'superhero', 'teambased', 'thirdperson']"
45,289070,"['4x', 'atmospheric', 'building', 'citybuilder', 'coop', 'grandstrategy', 'greatsoundtrack', 'hexgrid', 'historical', 'management', 'moddable', 'multiplayer', 'onlinecoop', 'simulation', 'singleplayer', 'strategy', 'tactical', 'turnbased', 'turnbasedstrategy', 'war']"
46,1172380,"['action', 'actionadventure', 'adventure', 'atmospheric', 'exploration', 'familyfriendly', 'fantasy', 'fighting', 'hackandslash', 'metroidvania', 'openworld', 'platformer', 'puzzle', 'rpg', 'scifi', 'soulslike', 'space', 'storyrich', 'swordplay', 'thirdperson']"
47,397540,"['action', 'adventure', 'coop', 'coopcampaign', 'comedy', 'epic', 'fps', 'firstperson', 'gore', 'greatsoundtrack', 'loot', 'lootershooter', 'multiplayer', 'nudity', 'onlinecoop', 'openworld', 'rpg', 'shooter', 'singleplayer', 'violent']"
48,1138190,"['cardgame', 'freetoplay', 'gambling', 'indie', 'massivelymultiplayer', 'multiplayer', 'simulation', 'sports', 'strategy']"
49,1062520,"['adventure', 'agriculture', 'building', 'charactercustomization', 'coop', 'crafting', 'cute', 'earlyaccess', 'exploration', 'farmingsim', 'fishing', 'hunting', 'indie', 'lifesim', 'mining', 'onlinecoop', 'openworld', 'openworldsurvivalcraft', 'rpg', 'sandbox', 'simulation', 'singleplayer']"
