Genre,Revenue
Card Game,6301521
Tutorial,6244332
Villain Protagonist,6205600
Wrestling,5963896
Immersive,5756605
Combat Racing,5408467
Bullet Time,4359299
Game Development,4248141
Narrative,4226655
Experimental,4198582
Idler,3800312
Rock Music,3774497
Sniper,3743987
Psychedelic,3718955
Episodic,3644561
Software Training,3458756
Escape Room,3209311
Abstract,2953686
Motorbike,2796602
Golf,2694041
Mini Golf,2694041
Score Attack,1933213
Precision Platformer,1750351
Philosophical,1724101
Word Game,1521536
Nostalgia,1515552
Top-Down Shooter,1508388
Pinball,1245877
1980s,1108224
Card Battler,1066396
NSFW,980395
Creature Collector,960202
Conspiracy,907831
Roguelike Deckbuilder,841326
Naval Combat,570079
Grid-Based Movement,499707
Software,485277
Utilities,485277
Musou,366046
Farming,343484
Well-Written,312718
Submarine,286957
Rome,262890
Music-Based Procedural Generation,229640
Underground,105505
Solitaire,93098
Trading Card Game,71842
Traditional Roguelike,63262
Otome,61484
Tennis,60696
Hacking,43153
Programming,24475
Chess,0
Free to Play,0
Clicker,0
